method,sequence,candidate_id,viewpoint_x,viewpoint_y,viewpoint_z,new_target_count,cumulative_coverage,score,transfer_delta_v,transfer_min_clearance,transfer_tracking_error,transfer_dynamic_cost,coverage_gain_area,coverage_per_delta_v,transfer_feasible,sooa_id,seed_view_id,selected_inspection_action,sooa_visible_target_count,sooa_delta_v,sooa_min_clearance,sooa_peak_input,sooa_passive_margin,sooa_passive_safe,adp_estimated_cost_to_go,adp_safe_action_count,adp_shield_rejections
safe_graph_adp,0,cand_0350,0.9747743928905603,-36.619934489864164,14.997571738431628,12,0.06666666666666667,-161.18106556478438,0.17805285804839333,23.7969858834031,3.2075292135405586,1.4676195486792671,1157.164961735165,6498.996839582642,True,0,cand_0350,SOOA,12,0.17805285804839333,23.7969858834031,0.003883064997959767,23.7969858834031,True,161.18106556478438,0,0
safe_graph_adp,1,cand_0016,-14.596743045700334,-25.780527945854118,24.59290011897844,5,0.09444444444444444,-159.6634460161051,0.7108154812278846,24.126067924583225,12.76404476484345,5.851605463811244,482.1520673896521,678.3083375685173,True,1,cand_0016,SOOA,12,0.7108154812278846,24.126067924583225,0.015441511526978662,14.520216868080318,True,159.6634460161051,0,0
safe_graph_adp,2,cand_0162,5.20494117842263,-29.399625542958884,35.7544967543118,9,0.14444444444444443,-153.76184055229385,0.7700883377638131,24.133394773752663,13.818050053985708,6.337690698536493,867.8737213013737,1126.9794369585059,True,2,cand_0162,SOOA,21,0.7700883377638131,24.133394773752663,0.01675649399651744,24.133394773752663,True,153.76184055229385,0,0
safe_graph_adp,3,cand_0143,6.215553840588,-8.435062455742827,57.036025946304136,13,0.21666666666666667,-147.37414985375736,0.9972336698257731,31.3806766769413,17.944062907344875,8.216099672450943,1253.5953752130954,1257.0728537797077,True,3,cand_0143,SOOA,19,0.9972336698257731,31.3806766769413,0.021691950446940687,30.262009108870934,True,147.37414985375736,0,0
safe_graph_adp,4,cand_0136,45.70576859626182,-11.52524220831843,31.813721663173087,8,0.2611111111111111,-139.10805018130642,1.5706266231875425,16.572309151362724,28.191422388301284,12.927589145831943,771.4433078234433,491.16912729889987,True,4,cand_0136,SOOA,13,1.5706266231875425,16.572309151362724,0.03422268314474373,16.529762939552548,True,139.10805018130642,0,0
safe_graph_adp,5,cand_0323,46.10407354005372,-22.26108509478983,-4.318872254161317,12,0.3277777777777778,-126.13046103547447,1.2553997532201238,13.662656688878874,22.628633656518264,10.350152824273906,1157.164961735165,921.7501905405153,True,5,cand_0323,SOOA,19,1.2553997532201238,13.662656688878874,0.027302472952165348,13.662598358281175,True,126.13046103547447,0,0
safe_graph_adp,6,cand_0263,4.979320015981793,-30.101111456751134,-36.64389412442733,2,0.3388888888888889,-115.73030821120057,1.7680289837106689,19.29018310915077,31.752867108412538,14.555660998067601,192.86082695586083,109.08238990013173,True,6,cand_0263,SOOA,3,1.7680289837106689,19.29018310915077,0.038490484884177716,19.29018310915077,True,115.73030821120057,0,0
safe_graph_adp,7,cand_0265,-27.734549719797347,-13.386988360385955,-33.06360141524905,1,0.34444444444444444,-101.12464721313296,1.2356045080457718,31.084903457695432,22.159485348429616,10.16672990294619,96.43041347793041,78.04310590485336,True,7,cand_0265,SOOA,1,1.2356045080457718,31.084903457695432,0.026868112816512604,25.835256321123325,True,101.12464721313296,0,0
safe_graph_adp,8,cand_0332,-37.1911008573381,-8.99871238387806,-11.637565621516437,7,0.38333333333333336,-90.90791731018678,0.7943981052524036,9.910694612040198,14.303795490866179,6.5466737146179295,675.0128943455129,849.7161434329472,True,8,cand_0332,SOOA,10,0.7943981052524036,9.910694612040198,0.017334318703357984,1.5091074156907407,True,90.90791731018678,0,0
safe_graph_adp,9,cand_0023,-26.95237514560484,5.377535562558326,-40.026275288153236,10,0.4388888888888889,-84.31124359556884,1.1141503149020473,9.931256344711196,20.0670535808812,9.182821219068853,964.3041347793041,865.5063162317401,True,9,cand_0023,SOOA,15,1.1141503149020473,9.931256344711196,0.02427428052290903,9.931256344711196,True,84.31124359556884,0,0
safe_graph_adp,10,cand_0180,-4.652837703879095,4.777137565112047,-58.07734489936044,12,0.5055555555555555,-75.07842237649999,0.9592692594571388,36.20214003927015,17.227098405920795,7.8972240103514375,1157.164961735165,1206.2983884107966,True,10,cand_0180,SOOA,18,0.9592692594571388,36.20214003927015,0.020919370153971825,36.20214003927015,True,75.07842237649999,0,0
safe_graph_adp,11,cand_0212,-6.504154582846726,48.06838415390501,-50.223446252734206,24,0.6388888888888888,-67.13119836614855,1.4706837407512507,47.00575188296727,26.43827713863587,12.112308588710711,2314.32992347033,1573.6421497990657,True,11,cand_0212,SOOA,24,1.4706837407512507,47.00575188296727,0.0319293273552727,45.33519075779776,True,67.13119836614855,0,0
safe_graph_adp,12,cand_0232,19.321627589464185,46.614732189067794,-39.75387179714283,10,0.6944444444444444,-54.968889777437845,0.9341566816794495,51.737266329918604,16.75269500886606,7.686268509993138,964.3041347793041,1032.2723732443415,True,12,cand_0232,SOOA,22,0.9341566816794495,51.737266329918604,0.020328087051777955,33.59490352456639,True,54.968889777437845,0,0
safe_graph_adp,13,cand_0242,30.85118206313429,46.61557093919158,-33.79687488906741,5,0.7222222222222222,-47.232621267444706,0.4343393652280403,51.40893714197308,7.790951419151691,3.5740680815875057,482.1520673896521,1110.0814385923984,True,13,cand_0242,SOOA,20,0.4343393652280403,51.40893714197308,0.009537253317578792,40.08706296014604,True,47.232621267444706,0,0
safe_graph_adp,14,cand_0308,35.755323414717424,34.49044165648442,4.498457471144148,6,0.7555555555555555,-43.608553185857204,1.347880630981776,30.58636354011498,24.29236133060503,11.112028194417785,578.5824808675825,429.25350180761313,True,14,cand_0308,SOOA,14,1.347880630981776,30.58636354011498,0.029325994445010498,24.548863047191357,True,43.608553185857204,0,0
safe_graph_adp,15,cand_0164,-10.099097095497754,44.586555931995576,15.713129919958288,8,0.8,-32.44652499143942,1.616689480281081,27.87077019595948,28.981053984260726,13.300037118572334,771.4433078234433,477.17469386224906,True,15,cand_0164,SOOA,10,1.616689480281081,27.87077019595948,0.035151333637249906,27.87077019595948,True,32.44652499143942,0,0
safe_graph_adp,16,cand_0084,-25.008296478538423,46.57706456979709,41.47837568055363,17,0.8944444444444445,-19.09648787286708,0.9952279536913134,34.927279029487934,17.909768103439358,8.199898027075651,1639.317029124817,1647.1774361286466,True,16,cand_0084,SOOA,18,0.9952279536913134,34.927279029487934,0.02162267030246664,34.927279029487934,True,19.09648787286708,0,0
safe_graph_adp,17,cand_0098,13.512606841921807,48.02987937129974,48.498963894840486,16,0.9833333333333333,-10.84658984579143,1.3124832762270537,49.72368238242139,23.523185914756443,10.796589845791429,1542.8866156468866,1175.5476382770871,True,17,cand_0098,SOOA,24,1.3124832762270537,49.72368238242139,0.02852870264879123,43.246193121370524,True,10.84658984579143,0,0
set_cover_cw_tour,0,cand_0350,0.9747743928905603,-36.619934489864164,14.997571738431628,12,0.06666666666666667,65.31294939176499,0.17805285804839333,23.7969858834031,3.2075292135405586,1.4676195486792671,1157.164961735165,6498.996839582642,True,0,cand_0350,SOOA,12,0.17805285804839333,23.7969858834031,0.003883064997959767,23.7969858834031,True,,,
set_cover_cw_tour,1,cand_0016,-14.596743045700334,-25.780527945854118,24.59290011897844,5,0.09444444444444444,22.38170689989755,0.7108154812278846,24.126067924583225,12.76404476484345,5.851605463811244,482.1520673896521,678.3083375685173,True,1,cand_0016,SOOA,12,0.7108154812278846,24.126067924583225,0.015441511526978662,14.520216868080318,True,,,
set_cover_cw_tour,2,cand_0162,5.20494117842263,-29.399625542958884,35.7544967543118,9,0.14444444444444443,44.156036638147604,0.7700883377638131,24.133394773752663,13.818050053985708,6.337690698536493,867.8737213013737,1126.9794369585059,True,2,cand_0162,SOOA,21,0.7700883377638131,24.133394773752663,0.01675649399651744,24.133394773752663,True,,,
set_cover_cw_tour,3,cand_0143,6.215553840588,-8.435062455742827,57.036025946304136,13,0.21666666666666667,64.64447496145016,0.9972336698257731,31.3806766769413,17.944062907344875,8.216099672450943,1253.5953752130954,1257.0728537797077,True,3,cand_0143,SOOA,19,0.9972336698257731,31.3806766769413,0.021691950446940687,30.262009108870934,True,,,
set_cover_cw_tour,4,cand_0354,-23.118161543895557,2.1613546369581247,37.70869942696241,4,0.2388888888888889,12.908877038695856,1.2269587797023112,17.77859783533935,22.027550323585594,10.099752956756962,385.72165391172166,314.3721372655296,True,4,cand_0354,SOOA,18,1.2269587797023112,17.77859783533935,0.026701342250444307,10.743521515059507,True,,,
set_cover_cw_tour,5,cand_0084,-25.008296478538423,46.57706456979709,41.47837568055363,18,0.3388888888888889,88.68509073850599,1.4894398608877155,17.78952316969807,26.78574908971576,12.268634140587414,1735.7474426027475,1165.3692694703573,True,5,cand_0084,SOOA,18,1.4894398608877155,17.78952316969807,0.03233274674551607,17.78952316969807,True,,,
set_cover_cw_tour,6,cand_0108,-5.0987407723577105,46.57470631682915,50.22344983842683,8,0.38333333333333336,38.92189113908555,0.727901259587274,49.721363448242315,13.054741335048972,5.989359738245184,771.4433078234433,1059.8186191638931,True,6,cand_0108,SOOA,24,0.727901259587274,49.721363448242315,0.015881607640682076,49.004430460068356,True,,,
set_cover_cw_tour,7,cand_0098,13.512606841921807,48.02987937129974,48.498963894840486,10,0.4388888888888889,50.79200912143436,0.6281269990814095,54.44210607235666,11.255192188977789,5.16656958942305,964.3041347793041,1535.2056768607774,True,7,cand_0098,SOOA,24,0.6281269990814095,54.44210607235666,0.0136585456012726,41.518003866736564,True,,,
set_cover_cw_tour,8,cand_0164,-10.099097095497754,44.586555931995576,15.713129919958288,6,0.4722222222222222,23.051312722784242,1.3533847642089174,34.90969283932156,24.342407768567114,11.148557219386667,578.5824808675825,427.507754016853,True,8,cand_0164,SOOA,10,1.3533847642089174,34.90969283932156,0.029428757546410132,33.03659776135383,True,,,
set_cover_cw_tour,9,cand_0308,35.755323414717424,34.49044165648442,4.498457471144148,12,0.5388888888888889,54.40450044413477,1.616487535165014,29.00326736543962,28.981080409359247,13.299032149509735,1157.164961735165,715.8514597621314,True,9,cand_0308,SOOA,14,1.616487535165014,29.00326736543962,0.035147602172645336,13.14996927366198,True,,,
set_cover_cw_tour,10,cand_0242,30.85118206313429,46.61557093919158,-33.79687488906741,20,0.65,100.85695280650667,1.3489217573737264,30.59918092066321,24.292356375547687,11.117232934467214,1928.6082695586083,1429.7406495344092,True,10,cand_0242,SOOA,20,1.3489217573737264,30.59918092066321,0.029331504278171685,30.59918092066321,True,,,
set_cover_cw_tour,11,cand_0232,19.321627589464185,46.614732189067794,-39.75387179714283,8,0.6944444444444444,41.14890628278717,0.4343392447903383,51.208385901531,7.790905912479582,3.5740592881980167,771.4433078234433,1776.1307942500796,True,11,cand_0232,SOOA,22,0.4343392447903383,51.208385901531,0.00953725231153681,50.507472213372296,True,,,
set_cover_cw_tour,12,cand_0212,-6.504154582846726,48.06838415390501,-50.223446252734206,12,0.7611111111111111,59.5794014832618,0.9341819961958672,51.7393975305485,16.75268599310703,7.686393459738602,1157.164961735165,1238.6932808032254,True,12,cand_0212,SOOA,24,0.9341819961958672,51.7393975305485,0.02032858843887277,51.7393975305485,True,,,
set_cover_cw_tour,13,cand_0334,5.8899579990705435,17.100434236679217,-41.0055803164055,17,0.8555555555555555,85.66427967993309,1.1562225505888286,33.82077865530582,20.776372810780163,9.520859858884572,1639.317029124817,1417.821359988147,True,13,cand_0334,SOOA,17,1.1562225505888286,33.82077865530582,0.025106234000660973,21.768620185850256,True,,,
set_cover_cw_tour,14,cand_0180,-4.652837703879095,4.777137565112047,-58.07734489936044,5,0.8833333333333333,21.807054674153385,0.7858927824154001,33.83283643624055,14.135759869813954,6.473900688643512,482.1520673896521,613.5087103202336,True,14,cand_0180,SOOA,18,0.7858927824154001,33.83283643624055,0.017112873478983385,33.83283643624055,True,,,
set_cover_cw_tour,15,cand_0023,-26.95237514560484,5.377535562558326,-40.026275288153236,3,0.9,9.384270274196616,0.9592431926118739,36.17597881871217,17.227118110112777,7.897097222879669,289.29124043379124,301.5827922073599,True,15,cand_0023,SOOA,15,0.9592431926118739,36.17597881871217,0.020919086205803815,20.652707244298245,True,,,
set_cover_cw_tour,16,cand_0265,-27.734549719797347,-13.386988360385955,-33.06360141524905,1,0.9055555555555556,0.4706625335051302,0.6699653388006526,31.08490345769546,12.025158334239073,5.514355194166296,96.43041347793041,143.93343639322686,True,16,cand_0265,SOOA,1,0.6699653388006526,31.08490345769546,0.014543167008287776,28.350409688775084,True,,,
set_cover_cw_tour,17,cand_0332,-37.1911008573381,-8.99871238387806,-11.637565621516437,1,0.9111111111111111,-0.48279596362729515,0.7943981052524036,9.910694612040198,14.303795490866179,6.5466737146179295,96.43041347793041,121.38802049042103,True,17,cand_0332,SOOA,10,0.7943981052524036,9.910694612040198,0.017334318703357984,1.5091074156907407,True,,,
set_cover_cw_tour,18,cand_0263,4.979320015981793,-30.101111456751134,-36.64389412442733,3,0.9277777777777778,3.116202631819532,1.7854273136334695,9.955587989956355,32.04377390156628,14.695015870449279,289.29124043379124,162.02913343196442,True,18,cand_0263,SOOA,3,1.7854273136334695,9.955587989956355,0.038829011624937425,9.955587989956355,True,,,
set_cover_cw_tour,19,cand_0323,46.10407354005372,-22.26108509478983,-4.318872254161317,5,0.9555555555555556,14.353883973462494,1.7683280254134301,19.24657652958173,31.752908513307823,14.55716365946256,482.1520673896521,272.65985748143436,True,19,cand_0323,SOOA,19,1.7683280254134301,19.24657652958173,0.03849392682911026,19.24657652958173,True,,,
set_cover_cw_tour,20,cand_0136,45.70576859626182,-11.52524220831843,31.813721663173087,5,0.9833333333333333,18.225158948684015,1.256722875424012,13.589507422620024,22.628636636988567,10.356768971778003,482.1520673896521,383.6582247514006,True,20,cand_0136,SOOA,13,1.256722875424012,13.589507422620024,0.027309248629892056,13.589507422620024,True,,,
safe_coverage_greedy,0,cand_0049,-7.045264923198928,5.883516855980156,50.12560193454411,23,0.12777777777777777,127.77777777777779,1.925324978012517,17.38718732261552,34.64879467354966,15.863407931301523,2217.8995099923995,1151.9611158225885,True,0,cand_0049,SOOA,23,1.925324978012517,17.38718732261552,0.04183207367785932,17.385711908960822,True,,,
safe_coverage_greedy,1,cand_0098,13.512606841921807,48.02987937129974,48.498963894840486,24,0.2611111111111111,133.33333333333334,1.5683428288875394,30.71773087237453,28.169738524263877,12.912267078805193,2314.32992347033,1475.65307842287,True,1,cand_0098,SOOA,24,1.5683428288875394,30.71773087237453,0.034043467288479755,30.71773087237453,True,,,
safe_coverage_greedy,2,cand_0309,52.011079627956526,0.13432077182919241,2.826866960760392,23,0.3888888888888889,127.77777777777779,2.556149250052269,7.504890318985355,45.96435573939948,21.054330283353252,2217.8995099923995,867.6721478399772,True,2,cand_0309,SOOA,23,2.556149250052269,7.504890318985355,0.055591870859131254,-2.3959423771018247,False,,,
safe_coverage_greedy,3,cand_0262,4.873724918775352,49.79132385068917,-38.62367541313248,24,0.5222222222222223,133.33333333333334,2.675007647917376,5.089693938434494,48.04963477060952,22.023972498296594,2314.32992347033,865.167591304701,True,3,cand_0262,SOOA,24,2.675007647917376,5.089693938434494,0.05814648454033674,5.060124562132291,True,,,
safe_coverage_greedy,4,cand_0179,-3.955595074113498,4.777135400934392,-50.10778702484613,21,0.6388888888888888,116.66666666666666,1.5794765180341,38.54891557783005,28.38974988745464,13.007537569912333,2025.0386830365387,1282.0948332660298,True,4,cand_0179,SOOA,21,1.5794765180341,38.54891557783005,0.034289488543203794,36.54495101575015,True,,,
safe_coverage_greedy,5,cand_0000,-33.54224661460412,-30.38154565087348,10.206137039557655,11,0.7,61.11111111111111,2.5298216204149213,16.679643974790462,45.518203196355664,20.842384677418625,1060.7345482572346,419.29222981470974,True,5,cand_0000,SOOA,13,2.5298216204149213,16.679643974790462,0.05499104128162493,11.160791092897016,True,,,
safe_coverage_greedy,6,cand_0071,-10.871927749038036,38.57622653069109,41.47920253183019,10,0.7555555555555555,55.55555555555556,2.638956426681121,3.246228605251429,47.45122045963181,21.73600181613933,964.3041347793041,365.4111621661217,True,6,cand_0071,SOOA,16,2.638956426681121,3.246228605251429,0.05732321659342652,3.1401912874643267,True,,,
safe_coverage_greedy,7,cand_0119,37.97997859862793,-17.372210785214445,48.240690879989316,6,0.7888888888888889,33.333333333333336,2.494042028960828,25.962189000482763,44.776346699757376,20.529952550760466,578.5824808675825,231.98585835726905,True,7,cand_0119,SOOA,6,2.494042028960828,25.962189000482763,0.054162740929591224,24.327873675379664,True,,,
safe_coverage_greedy,8,cand_0282,46.06753705961115,5.693865051551942,-26.769800098971,6,0.8222222222222222,33.333333333333336,2.6291801008944278,0.8866929178376886,47.35878313909962,21.67048146951007,578.5824808675825,220.06194275955193,True,8,cand_0282,SOOA,12,2.6291801008944278,0.8866929178376886,0.05714385451053096,0.8866929178376886,True,,,
safe_coverage_greedy,9,cand_0163,-7.097221879659249,37.171116282966615,15.713141910503165,5,0.85,27.77777777777778,2.506485597520653,12.429209964878428,45.013683362586846,20.634890992868897,482.1520673896521,192.36179448490896,True,9,cand_0163,SOOA,9,2.506485597520653,12.429209964878428,0.05447421256859687,12.429209964878428,True,,,
safe_coverage_greedy,10,cand_0190,30.55446961693741,46.61339130762494,-50.223434991891416,5,0.8777777777777778,27.77777777777778,2.552380810073176,26.392979805343543,45.93188221576451,21.02964284920349,482.1520673896521,188.90287275582085,True,10,cand_0190,SOOA,22,2.552380810073176,26.392979805343543,0.05545202733998813,25.350271432238177,True,,,
safe_coverage_greedy,11,cand_0204,-17.74542096734047,48.06754340413471,-50.223460131071775,5,0.9055555555555556,27.77777777777778,1.6189335567784475,58.3925292867796,29.010148540029906,13.31649452109762,482.1520673896521,297.8207878704407,True,11,cand_0204,SOOA,19,1.6189335567784475,58.3925292867796,0.035174451697504126,58.3925292867796,True,,,
safe_coverage_greedy,12,cand_0008,-51.787877022841826,-1.4044143565969915,-17.05370694269198,3,0.9222222222222223,16.666666666666668,2.2928572242809757,17.11983622895593,41.18642704022654,18.877842988645654,289.29124043379124,126.17062997653986,True,12,cand_0008,SOOA,6,2.2928572242809757,17.11983622895593,0.04984998019272486,17.091260746740964,True,,,
safe_coverage_greedy,13,cand_0150,5.28951036184294,-39.23094567894817,24.090351317230464,3,0.9388888888888889,16.666666666666668,2.670965966775588,7.400793530999145,47.95787770530458,21.987247820832764,289.29124043379124,108.30959436859692,True,13,cand_0150,SOOA,6,2.670965966775588,7.400793530999145,0.0580578302267944,7.388180942229473,True,,,
safe_coverage_greedy,14,cand_0219,4.847547059357166,-30.106597391963007,-43.61428269147873,2,0.95,11.11111111111111,2.2753943793549976,22.742905501089943,41.0106232517087,18.758884082082552,192.86082695586083,84.75929654468548,True,14,cand_0219,SOOA,2,2.2753943793549976,22.742905501089943,0.04946090842658065,22.738605795620575,True,,,
safe_coverage_greedy,15,cand_0024,-5.4516507130356,-19.35602806361507,26.302437043909748,1,0.9555555555555556,5.555555555555555,2.381201597895752,10.353851403738298,42.91133543020369,19.630048366915425,96.43041347793041,40.49653484322586,True,15,cand_0024,SOOA,10,2.381201597895752,10.353851403738298,0.051756376696613544,9.371325355562885,True,,,
safe_coverage_greedy,16,cand_0084,-25.008296478538423,46.57706456979709,41.47837568055363,2,0.9666666666666667,11.11111111111111,2.3522134678107243,10.393401308072027,42.28191637512049,19.37181228657531,192.86082695586083,81.99120938430907,True,16,cand_0084,SOOA,18,2.3522134678107243,10.393401308072027,0.051058749520198635,9.824480901283147,True,,,
safe_coverage_greedy,17,cand_0037,11.361662352088535,0.8060565387497054,49.158967421966125,1,0.9722222222222222,5.555555555555555,1.9719462356561204,28.85200313919672,35.39990164957247,16.231713475203644,96.43041347793041,48.901137228949544,True,17,cand_0037,SOOA,20,1.9719462356561204,28.85200313919672,0.042824083196539214,25.62184782619444,True,,,
safe_coverage_greedy,18,cand_0171,-2.0092256010154377,41.16088274240396,-16.202572106603345,1,0.9777777777777777,5.555555555555555,2.599657916572543,14.58526888346291,46.80672069959714,21.4234993087902,96.43041347793041,37.09350098072396,True,18,cand_0171,SOOA,7,2.599657916572543,14.58526888346291,0.056477787565919535,14.140866506916115,True,,,
safe_coverage_greedy,19,cand_0167,4.473361809393174,8.753557571434099,-48.78587491810179,1,0.9833333333333333,5.555555555555555,1.5482107417504198,29.98579193567597,27.861566652623953,12.756135706224411,96.43041347793041,62.285069388489966,True,19,cand_0167,SOOA,18,1.5482107417504198,29.98579193567597,0.03364658106829269,29.539095944307554,True,,,
fuel_greedy,0,cand_0028,0.5844032543796546,-39.245814627689164,0.8230451321140115,15,0.08333333333333333,11.029275521714135,0.33752669542964847,23.793453131804277,6.080116059583018,2.7820543678731857,1446.4562021689562,4285.457185327863,True,0,cand_0028,SOOA,15,0.33752669542964847,23.793453131804277,0.007338960050859579,23.793453131804277,True,,,
fuel_greedy,1,cand_0328,14.83810516214648,-44.034265300287935,5.904673291827973,2,0.09444444444444444,-6.644189581313954,0.5312213069550347,26.262415301465197,9.528756707771278,4.371282742174003,192.86082695586083,363.0517534421592,True,1,cand_0328,SOOA,13,0.5312213069550347,26.262415301465197,0.011559933777210386,26.262415301465197,True,,,
fuel_greedy,2,cand_0312,22.539239120379783,-39.21968063857779,6.646491149864501,2,0.10555555555555556,-2.87490808470955,0.3054654152965964,30.595473965643393,5.470763285196158,2.5120644678182904,192.86082695586083,631.3671443577324,True,2,cand_0312,SOOA,14,0.3054654152965964,30.595473965643393,0.00668494367549762,29.373849130746372,True,,,
fuel_greedy,3,cand_0329,38.56940639696909,-27.838337549577847,2.24903715968132,9,0.15555555555555556,-1.2619075194371436,0.6748390901576445,23.83953766677777,12.094401714867466,5.551187759464367,867.8737213013737,1286.0454202477151,True,3,cand_0329,SOOA,20,0.6748390901576445,23.83953766677777,0.014734310553229992,20.068058141699332,True,,,
fuel_greedy,4,cand_0323,46.10407354005372,-22.26108509478983,-4.318872254161317,2,0.16666666666666666,-4.179864899847793,0.383668263632917,19.287283798827364,6.87154287472785,3.1552190356155982,192.86082695586083,502.67599704411475,True,4,cand_0323,SOOA,19,0.383668263632917,19.287283798827364,0.00841846961327367,19.093914046718048,True,,,
fuel_greedy,5,cand_0324,52.450897114026844,-27.13118062987147,-4.318878331188337,1,0.17222222222222222,-3.3514418036833833,0.2672936935314238,19.296182780214572,4.802941369030409,2.2009979140825924,96.43041347793041,360.765763695782,True,5,cand_0324,SOOA,7,0.2672936935314238,19.296182780214572,0.005955091811114236,19.296182780214572,True,,,
fuel_greedy,6,cand_0309,52.011079627956526,0.13432077182919241,2.826866960760392,6,0.20555555555555555,-9.083359315367254,0.9436718547466494,9.932331208342335,16.924133437205526,7.764703292430242,578.5824808675825,613.1182973798836,True,6,cand_0309,SOOA,23,0.9436718547466494,9.932331208342335,0.020447672525051603,9.932331208342335,True,,,
fuel_greedy,7,cand_0319,48.731312224268926,-1.515712766575143,-3.606314051857378,1,0.2111111111111111,-3.0259739468214626,0.247865074738119,6.877840840590833,4.446493410659386,2.0396941876092844,96.43041347793041,389.0439731366496,True,7,cand_0319,SOOA,10,0.247865074738119,6.877840840590833,0.005453010175695523,6.59141757005203,True,,,
fuel_greedy,8,cand_0170,46.616470595566966,5.4885415222672655,-16.98168798781327,2,0.2222222222222222,-6.285748460250623,0.5096538144712256,6.877619995687951,9.152115199171247,4.195649808206952,192.86082695586083,378.4153507336292,True,8,cand_0170,SOOA,16,0.5096538144712256,6.877619995687951,0.011083209865350706,6.877619995687951,True,,,
