method,time,boresight_x,boresight_y,boresight_z,yaw_rad,pitch_rad,qx,qy,qz,qw
safe_graph_adp,2.0,0.00014140876662352243,0.9609765420882932,-0.2766298349050365,1.5706491756841154,0.28028530881938984,-0.09876449914297625,0.09877903351813183,0.7001228450450051,0.7002258764801175
safe_graph_adp,4.0,0.0005489686761278176,0.959329526921538,-0.28228807521730526,1.570224084827147,0.28617835215781723,-0.10080555880829371,0.10086326049086305,0.6996800113945577,0.7000805122637049
safe_graph_adp,6.0,0.0011962589885191562,0.9565473672335821,-0.2915745242694136,1.5695457265571595,0.2958724739127289,-0.10416038573061825,0.1042907302552107,0.698945859196959,0.6998205080866868
safe_graph_adp,8.0,0.002060247202678668,0.9525443273418355,-0.30439293656449085,1.5686334416347223,0.3093010585358923,-0.10880120443623881,0.10903678380412057,0.6979117825171848,0.6994229203526026
safe_graph_adp,10.0,0.0031203374606429335,0.9471882696166656,-0.3206628219714883,1.5675020227236058,0.32642917916940795,-0.11470901234904564,0.11508752252155528,0.6965591815700437,0.6988576473189859
safe_graph_adp,12.0,0.0043574480300761055,0.940303674089207,-0.34030870271123453,1.5661622740321093,0.34724517558662465,-0.12187046547828302,0.12243653225017678,0.6948601093425305,0.6980876117359086
safe_graph_adp,14.0,0.005753105875287354,0.9316747974359628,-0.363247812925894,1.5646213902513055,0.37175146256615343,-0.13027437252671994,0.13108130244485916,0.6927778426102524,0.6970689641638145
safe_graph_adp,16.0,0.007288553692226749,0.9210499815271392,-0.3893761786677917,1.5628831823330651,0.39995422319137186,-0.13990771283903286,0.14101922636566183,0.6902675575087656,0.6957514705225308
safe_graph_adp,18.0,0.008943879383835448,0.9081482221050238,-0.41855323879890305,1.5609481654268127,0.4318517221698523,-0.15075113130564025,0.15224311146231673,0.6872773059838037,0.6940792722031018
safe_graph_adp,20.0,0.010697199558660168,0.8926691586185483,-0.450585555885733,1.5588135138404235,0.4674211441640822,-0.16277394041296606,0.16473621033138874,0.6837495018106574,0.6919922283535895
safe_graph_adp,22.0,0.012523956081064715,0.8743075571528288,-0.4852107233249614,1.5564728779234676,0.5066041442360313,-0.1759287818730126,0.17846690955011188,0.6796231192029151,0.6894280540775886
safe_graph_adp,24.0,0.014396414447407108,0.852773015399874,-0.5220832572079521,1.5539160470820188,0.549291702883076,-0.1901462662937664,0.19338338707411765,0.6748367642475018,0.68632543639169
safe_graph_adp,26.0,0.01628347756989641,0.8278149092442467,-0.560764945758176,1.5511284303739012,0.5953093866496829,-0.2053301024279931,0.20940875434465872,0.6693326787322356,0.6826282207921514
