method,time,coverage_ratio,inspected_targets
safe_graph_adp,0.0,0.0,0
safe_graph_adp,90.0,0.13333333333333333,12
safe_graph_adp,180.0,0.2777777777777778,25
safe_graph_adp,270.0,0.37777777777777777,34
safe_graph_adp,360.0,0.45555555555555555,41
safe_graph_adp,450.0,0.5222222222222223,47
safe_graph_adp,540.0,0.5666666666666667,51
safe_graph_adp,630.0,0.6777777777777778,61
safe_graph_adp,720.0,0.7111111111111111,64
safe_graph_adp,810.0,0.7777777777777778,70
safe_graph_adp,900.0,0.8,72
safe_graph_adp,990.0,0.8555555555555555,77
safe_graph_adp,1080.0,0.8666666666666667,78
safe_graph_adp,1170.0,0.8777777777777778,79
safe_graph_adp,1260.0,0.8888888888888888,80
safe_graph_adp,1350.0,0.9,81
safe_graph_adp,1440.0,0.9111111111111111,82
safe_graph_adp,1530.0,0.9333333333333333,84
