method,time,rx,ry,rz,vx,vy,vz,ax,ay,az
safe_graph_adp,2.0,-0.005141598682923688,-34.940943486737346,10.058213707441665,-0.0050970593369624,0.05906035768957374,0.058213682603989486,-0.0026153376285611776,0.02952436181149076,0.029119666044718627
safe_graph_adp,4.0,-0.019894805659795876,-34.76641807038941,10.230212834982458,-0.009613621040760642,0.11546846524835869,0.11378537155106538,-0.0024556879091997452,0.02818736249298502,0.027798817115004176
safe_graph_adp,6.0,-0.0431228850421859,-34.481732259066575,10.5107128238716,-0.013573946043376545,0.1692203331262227,0.16671449765900104,-0.002302128076514252,0.02684965446449134,0.02647782585646263
safe_graph_adp,8.0,-0.07373763357801444,-34.0922023750484,10.894428004050031,-0.017002305986896553,0.22031213671218558,0.21700051880221827,-0.002154658916724876,0.025511265287379313,0.02515669903251618
safe_graph_adp,10.0,-0.11069940163566744,-33.603152224850554,11.376071648267894,-0.019922982787402146,0.26874021638887546,0.26464291991595107,-0.0020132811848677917,0.024172222526506023,0.023835443407281106
safe_graph_adp,12.0,-0.15301711331579892,-33.019912769185055,11.950356026210143,-0.02236026819876902,0.31450107758472917,0.3096412130002018,-0.0018779956047913075,0.02283255375007483,0.022514065745533125
safe_graph_adp,14.0,-0.19974828569064426,-32.347821792818394,12.611992458629846,-0.02433846337637882,0.3575913908239359,0.3519949371234892,-0.00174880286915216,0.02149228652949431,0.0211925728126728
safe_graph_adp,16.0,-0.24999904717067264,-31.592223574332003,13.355691371488785,-0.025881878440747273,0.398007991774124,0.39170365842638893,-0.0016257036394119642,0.020151448439237003,0.01987097137469087
safe_graph_adp,18.0,-0.30292415499841546,-30.75846855578962,14.176162350104924,-0.027014832041072568,0.43574788129179076,0.42876697012486575,-0.0015086985458338358,0.018810067056698316,0.01854926819813362
safe_graph_adp,20.0,-0.35772701186931505,-29.851913012316047,15.068114193306336,-0.02776165091870779,0.470808225465474,0.4631844925133982,-0.0013977881874791516,0.017468169962055274,0.01722747005006823
safe_graph_adp,22.0,-0.41365968167944533,-28.877918721591836,16.026254967591164,-0.028146669470561245,0.5031863556566659,0.4949558729678952,-0.0012929731322044932,0.016125784738125325,0.01590558369804813
safe_graph_adp,24.0,-0.4700229043999647,-27.841852633268388,17.045292061293225,-0.028194229312428536,0.5328797685384683,0.5240807859484046,-0.0011942539166587334,0.014782938970225135,0.014583615910078337
safe_graph_adp,26.0,-0.5261661100781675,-26.749086538308013,18.1199322387528,-0.02792867884226017,0.5598861261319893,0.5505589330016135,-0.0011016310462802908,0.013439660246029326,0.01326157345458083
safe_graph_adp,28.0,-0.5814874319650098,-25.60499673825344,19.244881694492232,-0.0273743728033686,0.5842032558404807,0.5743900427631417,-0.001015104995294541,0.01209597615542924,0.011939463100359888
safe_graph_adp,30.0,-0.6354337187689925,-24.414963714431334,20.414846107395906,-0.026555671847578458,0.6058291504812164,0.5955738709596254,-0.0009346762067113908,0.010751914290391679,0.010617291616567413
safe_graph_adp,32.0,-0.6875005460362897,-23.184371797094297,21.624530694894176,-0.025496942098323903,0.6247619683151108,0.6141102004105949,-0.0008603450923230069,0.00940750224481762,0.009295065772668306
safe_graph_adp,34.0,-0.7372322266570243,-21.918608834505903,22.868640267150838,-0.024222554713696817,0.6410000330740774,0.6299988410301423,-0.000792112032701709,0.008062767614400987,0.007972792338405778
safe_graph_adp,36.0,-0.784221820497592,-20.623065861973263,24.14187928125375,-0.022756885449449787,0.6545418339861279,0.6432396298283821,-0.0007299773771980223,0.0067177379964872995,0.006650478083766714
safe_graph_adp,38.0,-0.8281111431589512,-19.30313677083167,25.43895189540815,-0.02112431422195763,0.6653860257982099,0.6538324309127044,-0.000673941443938887,0.005372440989932396,0.005328129778946963
safe_graph_adp,40.0,-0.868590773860796,-17.964217977385818,26.75456202313226,-0.01934922467114134,0.6735314287967853,0.6617771354888187,-0.0006240045198260306,0.004026904194961145,0.004005754194316761
safe_graph_adp,42.0,-0.905400062451544,-16.611708091812122,28.083413387454804,-0.017456003723358267,0.678977028826147,0.6670736618615905,-0.000580166860534499,0.002681155213026116,0.002683358100385967
safe_graph_adp,44.0,-0.9383271355440739,-15.251007587026674,29.420209575113965,-0.015469041154262418,0.6817219773044754,0.6697219554356695,-0.0005424286905113475,0.0013352216466662838,0.001360948267769474
safe_graph_adp,46.0,-0.9672089017771558,-13.887518467523341,30.759654090757387,-0.013412729151638627,0.6817655912376337,0.66972198871591,-0.0005107902029744898,-1.0868900634330926e-05,3.853146715251596e-05
